prod,ip,crack,price
60.423,61.3586723001,8.0354271139,13.3333333333
59.773,61.2405743095,8.9396739064,12.6274228284
60.133,61.436343701,9.1456862225,13.6630824373
59.005,61.0369331001,9.7629277637,14.3378668576
59.248,61.2907484271,9.7236328163,15.1783166904
59.713,61.6016784382,9.6463152505,14.4768683274
59.699,61.2100440081,9.8715513366,14.0312278211
59.961,61.7700901338,9.9102975813,14.3736730361
60.759,61.9272517918,10.1039385199,14.2877291961
60.47,61.7109408398,9.7388227433,13.485915493
60.79,61.2338154652,9.0258032504,12.7906976744
60.623,61.7149597776,9.3929271487,12.1669004208
60.979,62.6133993656,8.896007998,12.9140461216
60.264,62.4527021841,9.3199361964,13.0571030641
59.56,62.7417144915,9.7897728713,12.9375
59.747,62.907850785,10.0870134407,12.8363384189
59.462,62.8629705353,9.849455029,12.1814404432
60.069,62.9310615244,9.1763514307,11.6066481994
59.891,62.821674924,9.3748468528,11.5400552486
59.902,63.1751391728,10.2336636941,11.0199862164
60.366,63.0713758517,10.6134538415,11.3658201784
60.43,63.2800272581,9.7864693633,10.3429355281
60.817,63.560015069,8.0021432697,9.3004115226
61.138,63.5234347147,8.3951048402,9.7264021888
60.96,63.8543585536,9.7073933823,9.3728698023
60.867,64.2662939894,9.4641900916,9.4293478261
60.41,64.8081729617,9.2343627563,10.2781546811
60.852,64.9768032393,8.7081286899,11.0237288136
61.161,65.5355141233,9.1471197184,11.3108108108
60.767,65.5814390408,9.3236831421,11.8800539084
60.662,66.5031814746,10.4091019997,11.288590604
61.27,66.8549627163,9.6078320297,10.609103079
61.768,67.3271849142,9.4462183537,10.9899665552
61.944,67.9940632854,8.9297200879,11.5564462258
62.266,68.5863530153,8.4742998392,10.6078824315
61.841,68.3708097874,8.2583775427,11.0113107119
62.344,68.4718590034,7.9071437204,11.3585155732
61.605,68.5082255101,7.9234577868,11.2417437252
62.403,68.8605947694,8.4979006009,12.3370638578
62.414,68.8250396838,10.0546472741,12.0367936925
61.555,69.1657792041,9.4805534439,11.3770491803
62.508,68.9809323089,9.2087008951,10.4
62.641,69.4860466075,9.3068531489,10.5101373447
63.037,69.5380176981,9.1499261787,10.8746736292
62.674,69.4858280629,8.6343836071,10.4879635654
62.892,69.8980199521,8.1415341128,10.9895833333
63.287,70.4173437397,8.0430393296,11.7003257329
63.237,70.370955136,8.1425849452,11.6191709845
